pod,timestamp,value
eric-bss-cil-database-cd-cil1-rack2-0,1669203943.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203943.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203943.286,0.005839588
eric-bss-cil-database-cd-cil1-rack1-0,1669203950.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203950.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203950.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203950.286,0.0209243
eric-bss-cil-database-cd-cil1-rack1-0,1669203957.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203957.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203957.286,0.000785939
eric-bss-cil-database-cd-cil1-rack4-0,1669203957.286,0.0209243
eric-bss-cil-database-cd-cil1-rack1-0,1669203964.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203964.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203964.286,0.000654949
eric-bss-cil-database-cd-cil1-rack4-0,1669203964.286,0.0209243
eric-bss-cil-database-cd-cil1-rack1-0,1669203971.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203971.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203971.286,0.000654949
eric-bss-cil-database-cd-cil1-rack4-0,1669203971.286,0.0209243
eric-bss-cil-database-cd-cil1-rack1-0,1669203978.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203978.286,0.004866323
eric-bss-cil-database-cd-cil1-rack3-0,1669203978.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203978.286,0.0209243
eric-bss-cil-database-cd-cil1-rack1-0,1669203985.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203985.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669203985.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203985.286,0.0209243
eric-bss-cil-database-cd-cil1-rack1-0,1669203992.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203992.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669203992.286,0.001629722
eric-bss-cil-database-cd-cil1-rack4-0,1669203992.286,0.007007506
eric-bss-cil-database-cd-cil1-rack1-0,1669203999.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669203999.286,0.008409007
eric-bss-cil-database-cd-cil1-rack3-0,1669203999.286,0.001955666
eric-bss-cil-database-cd-cil1-rack4-0,1669203999.286,0.007007506
eric-bss-cil-database-cd-cil1-rack1-0,1669204006.286,0.043388627
eric-bss-cil-database-cd-cil1-rack2-0,1669204006.286,0.008409007
