operation,client,data,timestamp,value
get,blob,cilrate/blob,1669204503.286,0.00925635491686844
put,blob,cilrate/blob,1669204503.286,NaN
putBatch,blob,cilrate/blob,1669204503.286,0.007768575858448893
get,blob,cilrate/blob,1669204510.286,0.011844148664968334
put,blob,cilrate/blob,1669204510.286,NaN
putBatch,blob,cilrate/blob,1669204510.286,0.010349572185692898
get,blob,cilrate/blob,1669204517.286,0.011844148664968334
put,blob,cilrate/blob,1669204517.286,NaN
putBatch,blob,cilrate/blob,1669204517.286,0.010349572185692898
get,blob,cilrate/blob,1669204524.286,0.011708420073380816
put,blob,cilrate/blob,1669204524.286,NaN
putBatch,blob,cilrate/blob,1669204524.286,0.01017660148219386
get,blob,cilrate/blob,1669204531.286,0.011708420073380816
put,blob,cilrate/blob,1669204531.286,NaN
putBatch,blob,cilrate/blob,1669204531.286,0.01017660148219386
get,blob,cilrate/blob,1669204538.286,0.006874671605678305
put,blob,cilrate/blob,1669204538.286,NaN
putBatch,blob,cilrate/blob,1669204538.286,0.005689678578042828
get,blob,cilrate/blob,1669204545.286,0.006874671605678305
put,blob,cilrate/blob,1669204545.286,NaN
putBatch,blob,cilrate/blob,1669204545.286,0.005689678578042828
get,blob,cilrate/blob,1669204552.286,0.0037424287210620893
put,blob,cilrate/blob,1669204552.286,NaN
putBatch,blob,cilrate/blob,1669204552.286,0.002940421922764419
get,blob,cilrate/blob,1669204559.286,0.0037424287210620893
put,blob,cilrate/blob,1669204559.286,NaN
putBatch,blob,cilrate/blob,1669204559.286,0.002940421922764419
get,blob,cilrate/blob,1669204566.286,0.0037424287210620893
put,blob,cilrate/blob,1669204566.286,NaN
putBatch,blob,cilrate/blob,1669204566.286,0.002940421922764419
get,blob,cilrate/blob,1669204573.286,0.0022022348791891255
put,blob,cilrate/blob,1669204573.286,NaN
putBatch,blob,cilrate/blob,1669204573.286,0.0017361441244810201
get,blob,cilrate/blob,1669204580.286,0.0022022348791891255
put,blob,cilrate/blob,1669204580.286,NaN
putBatch,blob,cilrate/blob,1669204580.286,0.0017361441244810201
get,blob,cilrate/blob,1669204587.286,0.0030308419642637884
put,blob,cilrate/blob,1669204587.286,NaN
putBatch,blob,cilrate/blob,1669204587.286,0.002413330474772634
get,blob,cilrate/blob,1669204594.286,0.0030308419642637884
put,blob,cilrate/blob,1669204594.286,NaN
putBatch,blob,cilrate/blob,1669204594.286,0.002413330474772634
get,blob,cilrate/blob,1669204601.286,0.007855488403445542
put,blob,cilrate/blob,1669204601.286,NaN
putBatch,blob,cilrate/blob,1669204601.286,0.006550505702117567
get,blob,cilrate/blob,1669204608.286,0.007855488403445542
put,blob,cilrate/blob,1669204608.286,NaN
putBatch,blob,cilrate/blob,1669204608.286,0.006550505702117567
get,blob,cilrate/blob,1669204615.286,0.015238997820396928
put,blob,cilrate/blob,1669204615.286,NaN
putBatch,blob,cilrate/blob,1669204615.286,0.013237274612400343
get,blob,cilrate/blob,1669204622.286,0.015238997820396928
put,blob,cilrate/blob,1669204622.286,NaN
putBatch,blob,cilrate/blob,1669204622.286,0.013237274612400343
get,blob,cilrate/blob,1669204629.286,0.019191196175147647
put,blob,cilrate/blob,1669204629.286,NaN
putBatch,blob,cilrate/blob,1669204629.286,0.01752484741248674
